class;bugsUntil;bugsAfter;RFC;WMC;CBO;DIT;LCOM;NOC;NoPubAttr;NoPubMeth;numAttrInh;NoM;NoLoC;NoMInh;NoPrivAttr;NoPrivMeth;FanIn;FanOut
org::eclipse::jdt::internal::compiler::ast::CombinedBinaryExpression ;4;0; 64.0; 47.0;6;6;36;0; 4.0;8;415; 9.0; 266.0;117;0;1;0;6
org::eclipse::jdt::internal::core::util::RuntimeInvisibleAnnotationsAttribute ;0;0; 6.0; 5.0;5;3;3;0; 0.0;3;1; 3.0; 22.0;31;3;0;3;2
org::eclipse::jdt::internal::antadapter::AntAdapterMessages ;1;0; 5.0; 2.0;4;1;1;0; 0.0;1;0; 2.0; 12.0;8;2;1;1;3
org::eclipse::jdt::internal::core::search::indexing::SaveIndex ;0;0; 10.0; 9.0;5;2;3;0; 0.0;3;8; 3.0; 30.0;19;0;0;2;3
org::eclipse::jdt::internal::core::JavaModel ;28;1; 118.0; 79.0;43;4;496;0; 2.0;22;51; 32.0; 235.0;157;0;2;22;23
org::eclipse::jdt::internal::compiler::lookup::FieldBinding ;16;3; 64.0; 74.0;39;3;253;3; 1.0;23;34; 23.0; 251.0;24;0;0;32;10
org::eclipse::jdt::internal::compiler::lookup::ParameterizedFieldBinding ;5;0; 8.0; 6.0;3;4;6;0; 1.0;4;35; 4.0; 24.0;47;0;0;1;2
org::eclipse::jdt::internal::codeassist::complete::CompletionOnPackageReference ;0;0; 7.0; 4.0;2;3;1;0; 0.0;2;387; 2.0; 12.0;32;0;0;1;1
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldType ;1;0; 4.0; 2.0;2;5;1;0; 0.0;2;400; 2.0; 10.0;65;0;0;1;1
org::eclipse::jdt::internal::compiler::lookup::ProblemBinding ;1;0; 4.0; 4.0;3;2;6;0; 2.0;3;28; 4.0; 13.0;16;1;0;3;0
org::eclipse::jdt::internal::core::CreateTypeHierarchyOperation ;1;0; 15.0; 12.0;8;2;10;0; 0.0;4;18; 5.0; 35.0;62;0;0;4;4
org::eclipse::jdt::core::search::MethodReferenceMatch ;9;1; 4.0; 4.0;1;4;6;0; 0.0;4;3; 4.0; 13.0;38;3;0;1;0
org::eclipse::jdt::internal::eval::CodeSnippetQualifiedNameReference ;9;2; 226.0; 140.0;19;7;78;0; 2.0;13;426; 13.0; 551.0;124;0;0;1;18
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadocParser ;26;0; 169.0; 207.0;18;3;276;0; 6.0;2;135; 24.0; 768.0;67;0;4;1;17
org::eclipse::jdt::core::dom::EmptyStatement ;5;0; 18.0; 8.0;5;3;28;0; 0.0;1;95; 8.0; 29.0;73;1;0;3;2
org::eclipse::jdt::core::dom::SimplePropertyDescriptor ;1;0; 5.0; 5.0;4;2;3;0; 0.0;2;0; 3.0; 14.0;15;2;0;2;2
org::eclipse::jdt::internal::core::SourceRange ;1;0; 12.0; 8.0;12;1;15;0; 0.0;6;0; 6.0; 28.0;10;0;0;10;2
org::eclipse::jdt::internal::core::BinaryType ;45;1; 367.0; 177.0;48;7;1540;1; 0.0;51;81; 56.0; 698.0;263;4;0;10;43
org::eclipse::jdt::core::search::TypeParameterDeclarationMatch ;1;0; 1.0; 1.0;1;2;0;0; 0.0;1;2; 1.0; 3.0;33;0;0;1;0
org::eclipse::jdt::internal::core::util::LocalVariableTypeAttribute ;0;0; 5.0; 5.0;3;3;3;0; 0.0;3;1; 3.0; 21.0;31;3;0;1;2
org::eclipse::jdt::core::util::ByteCodeVisitorAdapter ;0;1; 204.0; 204.0;0;1;20706;0; 0.0;204;0; 204.0; 612.0;212;0;0;0;0
org::eclipse::jdt::internal::compiler::ast::ThisReference ;3;0; 29.0; 21.0;8;5;91;3; 0.0;14;384; 14.0; 78.0;77;0;0;4;4
org::eclipse::jdt::internal::compiler::Compiler ;32;1; 125.0; 73.0;24;1;120;3; 16.0;9;11; 16.0; 407.0;9;0;0;6;19
org::eclipse::jdt::internal::compiler::flow::FlowContext ;17;2; 92.0; 108.0;28;1;351;4; 5.0;24;125; 27.0; 379.0;8;0;0;18;11
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedNameReference ;5;0; 20.0; 9.0;4;7;3;0; 2.0;3;397; 3.0; 36.0;124;0;0;1;3
org::eclipse::jdt::internal::core::DeletePackageFragmentRootOperation ;3;0; 49.0; 26.0;12;2;15;0; 2.0;1;18; 6.0; 120.0;62;0;0;1;11
org::eclipse::jdt::internal::compiler::ast::BreakStatement ;6;0; 28.0; 16.0;9;4;6;0; 0.0;4;384; 4.0; 72.0;41;0;0;0;9
org::eclipse::jdt::internal::formatter::FormatJavadocBlock ;8;0; 62.0; 86.0;7;2;171;0; 5.0;11;119; 19.0; 238.0;16;1;1;4;4
org::eclipse::jdt::internal::compiler::classfmt::FieldInfo ;11;0; 135.0; 86.0;23;2;276;1; 0.0;17;3; 24.0; 305.0;25;0;4;4;20
org::eclipse::jdt::internal::codeassist::select::SelectionJavadoc ;3;0; 11.0; 27.0;4;3;6;0; 1.0;3;388; 4.0; 80.0;33;0;1;1;3
org::eclipse::jdt::internal::core::util::LineNumberAttribute ;0;0; 5.0; 5.0;2;3;3;0; 0.0;3;1; 3.0; 23.0;31;3;0;1;1
org::eclipse::jdt::internal::core::PackageFragmentRootInfo ;11;0; 37.0; 30.0;12;3;45;1; 0.0;2;3; 10.0; 110.0;17;0;2;4;9
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFlattener ;8;0; 61.0; 29.0;9;2;66;1; 0.0;6;0; 12.0; 92.0;13;1;0;4;5
org::eclipse::jdt::core::dom::ForStatement ;11;0; 61.0; 29.0;6;3;136;0; 0.0;7;95; 17.0; 117.0;73;5;0;1;5
org::eclipse::jdt::internal::compiler::parser::diagnose::DiagnoseParser ;10;0; 368.0; 449.0;13;1;351;0; 5.0;3;131; 27.0; 2262.0;8;40;24;0;13
org::eclipse::jdt::core::dom::ASTNode ;26;0; 209.0; 206.0;150;1;1830;19; 2.0;26;0; 61.0; 657.0;8;7;1;135;18
org::eclipse::jdt::internal::codeassist::InternalCompletionContext ;12;1; 11.0; 12.0;2;1;45;1; 0.0;0;0; 10.0; 48.0;8;0;0;1;1
org::eclipse::jdt::internal::compiler::ast::IfStatement ;15;0; 69.0; 45.0;11;3;15;0; 6.0;6;380; 6.0; 192.0;38;0;0;0;11
org::eclipse::jdt::core::dom::CharacterLiteral ;9;1; 85.0; 57.0;7;3;105;0; 0.0;5;95; 15.0; 220.0;73;2;0;1;6
org::eclipse::jdt::internal::compiler::lookup::SignatureWrapper ;0;0; 11.0; 17.0;4;1;10;0; 4.0;5;0; 5.0; 47.0;8;0;0;3;1
org::eclipse::jdt::internal::compiler::DefaultErrorHandlingPolicies ;0;0; 8.0; 4.0;13;1;6;0; 0.0;4;0; 4.0; 40.0;8;0;0;12;1
org::eclipse::jdt::internal::core::search::BasicSearchEngine ;41;1; 211.0; 148.0;39;1;190;0; 1.0;15;0; 20.0; 712.0;8;4;2;4;36
org::eclipse::jdt::internal::compiler::batch::FileFinder ;2;0; 16.0; 7.0;3;1;1;0; 0.0;1;0; 2.0; 23.0;8;0;1;1;2
org::eclipse::jdt::internal::formatter::comment::MultiCommentRegion ;4;0; 51.0; 50.0;6;2;45;1; 0.0;1;58; 10.0; 121.0;24;4;0;3;4
org::eclipse::jdt::internal::eval::CodeSnippetCompiler ;3;0; 4.0; 2.0;2;2;1;0; 3.0;2;28; 2.0; 24.0;25;0;0;1;1
org::eclipse::jdt::core::dom::Message ;2;0; 8.0; 8.0;2;1;10;0; 0.0;5;0; 5.0; 27.0;8;3;0;1;1
org::eclipse::jdt::internal::compiler::ast::SingleNameReference ;40;6; 277.0; 253.0;32;6;210;5; 3.0;21;414; 21.0; 787.0;94;0;0;10;22
org::eclipse::jdt::internal::core::Openable ;22;0; 177.0; 92.0;38;3;595;6; 0.0;19;35; 35.0; 327.0;83;0;0;27;16
org::eclipse::jdt::internal::compiler::lookup::ProblemMethodBinding ;2;0; 2.0; 4.0;8;3;1;0; 1.0;2;37; 2.0; 8.0;72;1;0;8;0
org::eclipse::jdt::internal::codeassist::impl::AssistInitializer ;1;0; 5.0; 3.0;2;6;3;0; 0.0;3;68; 3.0; 13.0;210;2;0;2;1
org::eclipse::jdt::internal::formatter::comment::SingleCommentLine ;1;0; 25.0; 12.0;4;2;36;0; 0.0;0;3; 9.0; 48.0;27;2;0;1;3
org::eclipse::jdt::internal::compiler::codegen::DoubleCache ;1;0; 17.0; 32.0;4;1;15;0; 0.0;6;0; 6.0; 88.0;8;3;0;1;3
org::eclipse::jdt::internal::core::util::LRUCache ;2;0; 79.0; 49.0;16;1;276;1; 0.0;16;0; 24.0; 276.0;16;0;0;9;7
org::eclipse::jdt::internal::core::search::matching::DeclarationOfReferencedTypesPattern ;5;1; 2.0; 1.0;2;6;0;0; 0.0;1;67; 1.0; 7.0;58;0;0;2;0
org::eclipse::jdt::internal::compiler::util::SimpleLookupTable ;2;0; 31.0; 45.0;25;1;55;0; 4.0;10;0; 11.0; 127.0;16;0;1;23;2
org::eclipse::jdt::internal::compiler::lookup::ProblemReferenceBinding ;2;0; 23.0; 13.0;23;4;21;0; 1.0;7;49; 7.0; 48.0;148;1;0;18;5
org::eclipse::jdt::internal::core::NamedMember ;8;0; 82.0; 34.0;24;5;45;4; 0.0;5;52; 10.0; 178.0;161;0;1;11;13
org::eclipse::jdt::internal::core::JarPackageFragmentRootInfo ;2;0; 2.0; 1.0;2;4;1;0; 1.0;1;6; 2.0; 4.0;25;0;0;2;0
org::eclipse::jdt::core::dom::ASTParser ;38;1; 170.0; 89.0;41;1;210;0; 0.0;15;0; 21.0; 426.0;8;15;5;9;33
org::eclipse::jdt::internal::core::SourceMethodInfo ;0;0; 5.0; 4.0;1;6;10;1; 0.0;4;11; 5.0; 12.0;47;0;0;1;0
org::eclipse::jdt::internal::core::JavaElementInfo ;3;0; 13.0; 13.0;17;1;15;2; 1.0;5;0; 6.0; 47.0;8;0;0;15;2
org::eclipse::jdt::internal::core::dom::rewrite::NodeRewriteEvent ;1;0; 26.0; 15.0;6;2;28;0; 0.0;8;5; 8.0; 59.0;13;2;0;4;2
org::eclipse::jdt::internal::compiler::ast::AND_AND_Expression ;12;0; 87.0; 56.0;10;6;15;0; 2.0;6;415; 6.0; 230.0;117;0;0;1;9
org::eclipse::jdt::internal::core::search::indexing::SourceIndexer ;10;1; 14.0; 6.0;7;2;1;0; 0.0;2;52; 2.0; 35.0;25;0;0;1;6
org::eclipse::jdt::core::dom::ThisExpression ;8;0; 33.0; 16.0;2;3;66;0; 0.0;3;95; 12.0; 59.0;73;2;0;1;1
org::eclipse::jdt::internal::core::builder::SourceFile ;5;0; 38.0; 15.0;11;2;45;0; 4.0;8;1; 10.0; 68.0;12;0;0;5;6
org::eclipse::jdt::core::ElementChangedEvent ;0;0; 3.0; 3.0;2;1;3;0; 0.0;3;0; 3.0; 10.0;16;2;0;2;0
org::eclipse::jdt::internal::formatter::FormatterCommentParser ;17;5; 130.0; 129.0;13;3;300;0; 2.0;4;170; 25.0; 495.0;67;1;2;1;12
org::eclipse::jdt::core::dom::StructuralPropertyDescriptor ;1;0; 20.0; 14.0;8;1;21;3; 0.0;6;0; 7.0; 44.0;8;2;0;6;2
org::eclipse::jdt::internal::compiler::lookup::BlockScope ;30;1; 157.0; 169.0;87;2;276;2; 9.0;19;262; 24.0; 546.0;80;0;1;72;21
org::eclipse::jdt::internal::compiler::lookup::LookupEnvironment ;44;3; 312.0; 321.0;84;1;703;0; 10.0;27;140; 38.0; 1069.0;8;11;3;68;30
org::eclipse::jdt::core::dom::BodyDeclaration ;6;0; 38.0; 19.0;17;2;120;6; 2.0;7;95; 16.0; 74.0;68;1;0;10;7
org::eclipse::jdt::core::dom::ConditionalExpression ;8;0; 65.0; 35.0;4;3;120;0; 0.0;7;95; 16.0; 141.0;73;4;0;1;3
org::eclipse::jdt::internal::compiler::lookup::LocalVariableBinding ;8;0; 41.0; 49.0;25;3;45;2; 6.0;9;34; 10.0; 177.0;24;0;1;17;11
org::eclipse::jdt::internal::core::JavaModelOperation ;29;0; 244.0; 141.0;51;1;1431;14; 1.0;16;0; 54.0; 528.0;8;0;0;36;17
org::eclipse::jdt::internal::core::CopyResourceElementsOperation ;26;1; 278.0; 125.0;31;3;171;1; 0.0;1;34; 19.0; 516.0;78;0;12;2;29
org::eclipse::jdt::core::dom::VariableDeclarationFragment ;10;0; 63.0; 33.0;7;3;190;0; 0.0;7;95; 20.0; 127.0;82;4;0;4;3
org::eclipse::jdt::internal::compiler::codegen::CaseLabel ;3;0; 15.0; 12.0;4;3;21;0; 1.0;4;7; 7.0; 46.0;22;0;0;3;2
org::eclipse::jdt::internal::core::DeleteElementsOperation ;12;0; 61.0; 26.0;16;3;36;0; 0.0;1;22; 9.0; 102.0;78;0;2;2;14
org::eclipse::jdt::internal::codeassist::select::SelectionOnMessageSend ;2;0; 25.0; 24.0;8;5;6;0; 0.0;3;397; 4.0; 65.0;94;0;1;1;7
org::eclipse::jdt::internal::compiler::lookup::PackageBinding ;7;4; 54.0; 45.0;14;2;136;1; 6.0;7;153; 17.0; 136.0;16;0;3;11;6
org::eclipse::jdt::internal::core::search::TypeNameMatchRequestorWrapper ;8;0; 59.0; 32.0;14;1;6;0; 1.0;2;0; 4.0; 121.0;9;5;2;0;14
org::eclipse::jdt::core::dom::TagElement ;9;0; 40.0; 19.0;6;2;105;0; 0.0;5;95; 15.0; 70.0;68;3;0;4;2
org::eclipse::jdt::core::dom::CompilationUnit ;38;0; 120.0; 100.0;23;2;666;0; 1.0;21;95; 37.0; 344.0;68;12;0;15;9
org::eclipse::jdt::core::dom::ExpressionStatement ;8;0; 39.0; 19.0;5;3;66;0; 0.0;3;95; 12.0; 72.0;73;2;0;1;4
org::eclipse::jdt::internal::core::search::matching::PossibleMatch ;13;0; 50.0; 36.0;13;2;91;0; 6.0;9;1; 14.0; 112.0;12;3;2;2;12
org::eclipse::jdt::internal::compiler::lookup::ArrayBinding ;16;0; 70.0; 61.0;24;3;276;0; 5.0;24;40; 24.0; 190.0;71;0;0;19;7
org::eclipse::jdt::core::formatter::DefaultCodeFormatterConstants ;62;2; 26.0; 41.0;4;1;45;0; 0.0;10;0; 10.0; 177.0;8;1;0;3;1
org::eclipse::jdt::internal::compiler::ast::JavadocArgumentExpression ;15;0; 32.0; 20.0;10;4;15;0; 2.0;5;384; 6.0; 66.0;69;0;1;1;9
org::eclipse::jdt::internal::core::jdom::DOMField ;4;0; 195.0; 85.0;15;4;741;0; 0.0;13;50; 39.0; 328.0;176;0;0;2;14
org::eclipse::jdt::internal::compiler::util::HashtableOfObjectToInt ;1;0; 24.0; 30.0;8;1;45;0; 4.0;9;0; 10.0; 117.0;16;0;1;6;2
org::eclipse::jdt::core::util::ClassFileBytesDisassembler ;2;0; 2.0; 0.0;0;1;1;1; 0.0;2;0; 2.0; 0.0;8;0;0;0;0
org::eclipse::jdt::internal::codeassist::complete::CompletionParser ;102;1; 1156.0; 1148.0;78;3;21115;0; 23.0;28;427; 206.0; 4390.0;96;1;27;2;76
org::eclipse::jdt::internal::core::search::matching::LocalVariableLocator ;6;1; 21.0; 27.0;4;3;28;0; 0.0;2;69; 8.0; 65.0;37;0;1;1;4
org::eclipse::jdt::core::dom::PrimitiveType ;7;0; 31.0; 16.0;7;3;78;0; 0.0;4;95; 13.0; 59.0;76;3;0;5;2
org::eclipse::jdt::internal::compiler::impl::DoubleConstant ;1;0; 14.0; 13.0;5;2;66;0; 0.0;11;152; 12.0; 39.0;41;1;1;4;1
org::eclipse::jdt::internal::eval::CodeSnippetEnvironment ;1;0; 9.0; 5.0;3;1;6;0; 2.0;4;14; 4.0; 17.0;11;0;0;1;2
org::eclipse::jdt::internal::core::jdom::DOMNode ;4;0; 194.0; 125.0;21;2;1378;4; 0.0;21;7; 53.0; 482.0;35;0;1;11;11
org::eclipse::jdt::internal::core::JarEntryResource ;2;0; 30.0; 20.0;9;2;66;2; 0.0;10;0; 12.0; 57.0;5;0;0;4;6
org::eclipse::jdt::internal::compiler::ast::LongLiteralMinValue ;0;0; 2.0; 2.0;0;7;1;0; 0.0;2;386; 2.0; 7.0;86;0;0;0;0
org::eclipse::jdt::internal::eval::VariablesEvaluator ;4;0; 77.0; 39.0;9;2;21;0; 0.0;0;19; 7.0; 255.0;15;0;1;1;9
org::eclipse::jdt::core::dom::FieldAccess ;10;0; 55.0; 28.0;4;3;105;0; 0.0;6;95; 15.0; 109.0;73;3;0;1;4
org::eclipse::jdt::internal::compiler::batch::ClasspathSourceJar ;2;0; 3.0; 2.0;1;3;1;0; 0.0;2;23; 2.0; 7.0;28;1;0;1;0
org::eclipse::jdt::internal::formatter::BinaryExpressionFragmentBuilder ;9;0; 21.0; 11.0;2;2;36;0; 2.0;5;0; 9.0; 42.0;11;1;3;1;1
org::eclipse::jdt::internal::core::TypeParameter ;5;0; 31.0; 16.0;13;4;55;1; 0.0;9;52; 11.0; 57.0;127;0;0;7;6
org::eclipse::jdt::internal::core::util::AnnotationComponentValue ;2;0; 37.0; 29.0;6;2;91;0; 0.0;13;13; 14.0; 131.0;31;14;0;2;4
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeFound ;1;0; 1.0; 1.0;1;1;0;0; 4.0;1;0; 1.0; 3.0;23;1;0;1;0
org::eclipse::jdt::core::dom::Name ;2;0; 13.0; 6.0;12;3;15;2; 1.0;4;95; 6.0; 22.0;73;0;0;8;4
org::eclipse::jdt::internal::formatter::comment::CommentRange ;2;0; 66.0; 51.0;6;1;66;0; 0.0;5;17; 12.0; 136.0;0;1;0;5;1
org::eclipse::jdt::internal::compiler::ast::JavadocImplicitTypeReference ;9;0; 38.0; 25.0;7;5;55;0; 1.0;7;384; 11.0; 91.0;87;0;0;1;6
org::eclipse::jdt::internal::compiler::util::HashSetOfInt ;1;0; 18.0; 24.0;4;1;28;0; 3.0;7;0; 8.0; 94.0;16;0;1;1;3
org::eclipse::jdt::internal::core::util::MementoTokenizer ;2;0; 11.0; 24.0;14;1;3;0; 0.0;3;0; 3.0; 80.0;8;18;0;12;2
org::eclipse::jdt::internal::core::jdom::SimpleDOMBuilder ;9;0; 65.0; 21.0;14;3;153;0; 0.0;15;8; 18.0; 104.0;46;0;0;1;13
org::eclipse::jdt::internal::core::util::DefaultStackMapFrame ;2;0; 13.0; 12.0;3;2;28;0; 0.0;7;0; 8.0; 51.0;25;7;0;1;2
org::eclipse::jdt::internal::formatter::FormatJavadocNode ;6;0; 12.0; 7.0;5;1;28;3; 0.0;4;78; 8.0; 27.0;8;0;0;5;0
org::eclipse::jdt::internal::core::search::matching::MatchLocatorParser ;36;0; 237.0; 223.0;14;2;2080;1; 3.0;2;402; 65.0; 681.0;8;1;0;1;13
org::eclipse::jdt::core::dom::ParenthesizedExpression ;8;0; 37.0; 19.0;6;3;66;0; 0.0;3;95; 12.0; 71.0;73;2;0;3;3
org::eclipse::jdt::internal::compiler::AbstractAnnotationProcessorManager ;2;0; 10.0; 0.0;3;1;45;0; 0.0;10;0; 10.0; 0.0;8;0;0;3;0
org::eclipse::jdt::internal::compiler::lookup::UpdatedMethodBinding ;0;1; 2.0; 2.0;1;3;1;0; 1.0;2;37; 2.0; 7.0;72;0;0;1;0
org::eclipse::jdt::core::dom::ArrayAccess ;8;0; 51.0; 27.0;4;3;91;0; 0.0;5;95; 14.0; 109.0;73;3;0;1;3
org::eclipse::jdt::internal::codeassist::complete::CompletionOnStringLiteral ;1;0; 7.0; 3.0;1;6;3;0; 2.0;3;386; 3.0; 13.0;85;0;0;0;1
org::eclipse::jdt::internal::core::hierarchy::RegionBasedTypeHierarchy ;9;0; 36.0; 30.0;9;2;21;0; 0.0;2;33; 7.0; 103.0;82;0;1;0;9
org::eclipse::jdt::internal::core::PackageFragmentRoot ;39;1; 273.0; 134.0;47;4;903;2; 0.0;27;59; 43.0; 554.0;160;0;1;27;27
org::eclipse::jdt::core::util::CompilationUnitSorter ;5;0; 8.0; 6.0;3;1;3;0; 0.0;1;0; 3.0; 19.0;8;0;2;0;3
org::eclipse::jdt::internal::compiler::ast::Annotation ;26;1; 94.0; 118.0;33;4;45;3; 3.0;9;384; 10.0; 357.0;69;1;1;19;16
org::eclipse::jdt::internal::compiler::ast::JavadocFieldReference ;22;1; 34.0; 25.0;7;6;15;1; 4.0;5;394; 6.0; 87.0;107;0;0;2;5
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleNameReference ;3;0; 23.0; 15.0;6;7;3;0; 0.0;3;419; 3.0; 40.0;115;0;0;1;5
org::eclipse::jdt::internal::core::dom::rewrite::RewriteEventStore ;6;0; 273.0; 133.0;22;1;903;0; 4.0;30;0; 43.0; 474.0;8;5;13;6;16
org::eclipse::jdt::internal::compiler::ast::EmptyStatement ;1;0; 17.0; 9.0;6;3;21;0; 0.0;7;380; 7.0; 32.0;38;0;0;1;5
org::eclipse::jdt::internal::compiler::ClassFile ;69;6; 1095.0; 1042.0;50;1;1891;1; 17.0;39;249; 62.0; 6113.0;8;1;22;18;37
org::eclipse::jdt::internal::core::ClasspathChange ;11;1; 159.0; 108.0;18;1;55;0; 8.0;6;0; 11.0; 469.0;8;0;5;2;17
org::eclipse::jdt::internal::compiler::ast::StringLiteral ;7;0; 29.0; 19.0;6;5;36;3; 2.0;9;384; 9.0; 72.0;76;0;0;1;5
org::eclipse::jdt::core::Signature ;37;1; 294.0; 225.0;36;1;861;0; 0.0;26;0; 42.0; 841.0;8;12;16;30;7
org::eclipse::jdt::internal::compiler::classfmt::AnnotationMethodInfoWithAnnotations ;0;0; 12.0; 13.0;4;4;10;0; 0.0;1;14; 5.0; 26.0;59;1;0;1;4
org::eclipse::jdt::internal::compiler::parser::RecoveryScanner ;6;0; 30.0; 53.0;5;2;136;0; 1.0;16;219; 17.0; 191.0;55;7;1;2;3
org::eclipse::jdt::core::dom::Type ;2;0; 10.0; 8.0;6;2;28;6; 0.0;7;95; 8.0; 24.0;68;0;0;6;1
org::eclipse::jdt::core::CompletionRequestorAdapter ;0;0; 14.0; 14.0;0;1;91;0; 0.0;14;0; 14.0; 42.0;22;0;0;0;0
org::eclipse::jdt::core::compiler::InvalidInputException ;1;0; 1.0; 1.0;6;1;0;0; 0.0;1;0; 1.0; 3.0;22;1;0;6;0
org::eclipse::jdt::internal::core::dom::rewrite::LineCommentEndOffsets ;3;0; 15.0; 15.0;5;1;6;0; 0.0;3;0; 4.0; 51.0;8;2;1;1;4
org::eclipse::jdt::internal::compiler::parser::Scanner ;85;1; 374.0; 1169.0;47;1;1225;4; 44.0;41;114; 50.0; 3449.0;8;2;3;38;9
org::eclipse::jdt::internal::compiler::ast::Initializer ;4;0; 32.0; 23.0;12;5;36;0; 4.0;9;400; 9.0; 81.0;65;0;0;5;7
org::eclipse::jdt::core::dom::VariableDeclarationStatement ;11;0; 75.0; 40.0;11;3;171;0; 0.0;7;95; 19.0; 155.0;73;6;0;5;7
org::eclipse::jdt::internal::core::search::matching::DeclarationOfReferencedMethodsPattern ;4;1; 2.0; 1.0;2;5;0;0; 0.0;1;83; 1.0; 7.0;57;0;0;2;0
org::eclipse::jdt::core::compiler::CharOperation ;20;0; 91.0; 262.0;141;1;561;0; 0.0;34;0; 34.0; 845.0;8;0;0;137;4
org::eclipse::jdt::internal::codeassist::CompletionElementNotifier ;1;0; 32.0; 39.0;6;2;21;0; 0.0;1;10; 7.0; 136.0;15;1;0;1;5
org::eclipse::jdt::internal::core::search::indexing::BinaryIndexer ;17;0; 221.0; 191.0;16;2;171;0; 0.0;3;52; 19.0; 707.0;25;10;16;1;15
org::eclipse::jdt::internal::compiler::ast::CompilationUnitDeclaration ;29;2; 128.0; 174.0;40;2;253;0; 18.0;21;391; 23.0; 536.0;31;5;2;22;21
org::eclipse::jdt::internal::compiler::ast::PrefixExpression ;1;0; 12.0; 8.0;2;6;10;0; 0.0;5;415; 5.0; 28.0;93;0;0;1;1
org::eclipse::jdt::core::dom::DefaultValuePairBinding ;5;0; 11.0; 6.0;4;3;15;0; 0.0;5;9; 6.0; 20.0;42;1;0;1;3
org::eclipse::jdt::internal::core::search::matching::TypeDeclarationLocator ;2;1; 30.0; 35.0;5;2;10;0; 0.0;4;68; 5.0; 69.0;33;0;0;1;5
org::eclipse::jdt::internal::compiler::flow::FlowInfo ;6;0; 60.0; 20.0;51;1;703;2; 1.0;38;0; 38.0; 66.0;8;0;0;50;3
org::eclipse::jdt::core::dom::Block ;5;0; 29.0; 13.0;15;3;55;0; 0.0;2;95; 11.0; 47.0;73;2;0;12;3
org::eclipse::jdt::core::dom::MethodRefParameter ;5;0; 60.0; 31.0;6;2;136;0; 0.0;7;95; 17.0; 121.0;68;5;0;3;4
org::eclipse::jdt::internal::core::search::IndexSelector ;12;1; 62.0; 43.0;12;1;10;0; 3.0;3;0; 5.0; 145.0;8;0;2;1;11
org::eclipse::jdt::internal::compiler::ast::Wildcard ;2;0; 34.0; 20.0;8;6;28;0; 2.0;7;385; 8.0; 71.0;95;0;1;2;6
org::eclipse::jdt::core::dom::ArrayType ;9;0; 45.0; 23.0;9;3;91;0; 0.0;5;95; 14.0; 87.0;76;2;0;5;4
org::eclipse::jdt::core::search::FieldReferenceMatch ;3;1; 3.0; 3.0;1;4;3;0; 0.0;3;3; 3.0; 11.0;38;2;0;1;0
org::eclipse::jdt::core::search::SearchDocument ;2;1; 10.0; 5.0;10;2;28;1; 0.0;7;2; 8.0; 16.0;11;2;0;9;1
org::eclipse::jdt::core::ToolFactory ;15;0; 25.0; 15.0;12;1;15;0; 0.0;6;0; 6.0; 63.0;8;0;0;1;11
org::eclipse::jdt::internal::core::util::DefaultBytecodeVisitor ;9;2; 1156.0; 265.0;13;1;23005;0; 0.0;205;0; 215.0; 1585.0;212;17;10;0;13
org::eclipse::jdt::core::dom::ThrowStatement ;8;0; 39.0; 19.0;5;3;66;0; 0.0;3;95; 12.0; 72.0;73;2;0;1;4
org::eclipse::jdt::internal::core::search::matching::InternalReferenceMatch ;1;1; 2.0; 2.0;3;3;1;4; 1.0;2;2; 2.0; 6.0;36;0;0;3;0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnAnnotationMemberValuePair ;0;0; 13.0; 8.0;5;6;3;0; 1.0;3;389; 3.0; 32.0;83;0;0;1;4
org::eclipse::jdt::internal::codeassist::ThrownExceptionFinder ;3;0; 30.0; 24.0;6;2;36;0; 0.0;4;0; 9.0; 75.0;11;2;5;1;5
org::eclipse::jdt::internal::core::DefaultWorkingCopyOwner ;1;0; 5.0; 4.0;1;2;3;0; 1.0;2;0; 3.0; 10.0;13;0;1;0;1
org::eclipse::jdt::internal::compiler::impl::ByteConstant ;1;0; 14.0; 12.0;3;2;66;0; 0.0;11;152; 12.0; 37.0;41;1;1;3;0
org::eclipse::jdt::internal::core::AnnotatableInfo ;1;0; 1.0; 0.0;1;4;0;3; 0.0;1;7; 1.0; 0.0;25;0;0;1;0
org::eclipse::jdt::internal::core::util::ExceptionAttribute ;3;0; 10.0; 7.0;4;3;6;0; 0.0;3;1; 4.0; 31.0;32;3;0;1;3
org::eclipse::jdt::core::dom::Initializer ;11;0; 63.0; 35.0;9;3;136;0; 0.0;3;97; 17.0; 125.0;84;3;0;3;6
org::eclipse::jdt::internal::codeassist::impl::AssistImportContainer ;1;0; 5.0; 3.0;3;5;3;0; 0.0;2;52; 3.0; 10.0;138;1;0;2;1
org::eclipse::jdt::internal::core::MoveElementsOperation ;2;0; 3.0; 3.0;1;4;3;1; 0.0;1;34; 3.0; 9.0;84;0;0;1;0
org::eclipse::jdt::internal::compiler::parser::RecoveredStatement ;0;0; 11.0; 8.0;4;2;21;3; 1.0;7;4; 7.0; 23.0;33;0;0;1;3
