"class","bugsUntil","bugsAfter","hclust"
"org::eclipse::jdt::internal::compiler::lookup::ProblemBinding",1,0,"3"
"org::eclipse::jdt::internal::core::search::matching::AndPattern",4,1,"4"
"org::eclipse::jdt::internal::core::util::LineNumberAttribute",0,0,"3"
"org::eclipse::jdt::internal::codeassist::select::SelectionParser",25,1,"11"
"org::eclipse::jdt::internal::core::SourceFieldElementInfo",3,0,"3"
"org::eclipse::jdt::core::search::FieldDeclarationMatch",0,0,"3"
"org::eclipse::jdt::internal::core::util::BindingKeyParser",24,0,"11"
"org::eclipse::jdt::core::ClasspathVariableInitializer",0,0,"3"
"org::eclipse::jdt::core::dom::NodeEventHandler",2,0,"3"
"org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern",11,1,"1"
"org::eclipse::jdt::internal::compiler::lookup::ImportBinding",1,0,"3"
"org::eclipse::jdt::core::dom::ASTConverter",196,1,"16"
"org::eclipse::jdt::internal::compiler::lookup::UpdatedMethodBinding",0,1,"4"
"org::eclipse::jdt::internal::core::search::matching::DeclarationOfReferencedTypesPattern",5,1,"4"
"org::eclipse::jdt::internal::compiler::ast::CombinedBinaryExpression",4,0,"8"
"org::eclipse::jdt::core::dom::TypeBinding",89,1,"11"
"org::eclipse::jdt::core::dom::CatchClause",8,0,"6"
"org::eclipse::jdt::internal::core::util::CommentRecorderParser",24,1,"8"
"org::eclipse::jdt::internal::core::util::ParameterAnnotation",1,0,"3"
"org::eclipse::jdt::internal::compiler::ast::FieldDeclaration",41,0,"8"
"org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding",4,0,"1"
"org::eclipse::jdt::internal::core::util::InnerClassesAttribute",1,0,"3"
"org::eclipse::jdt::internal::core::TypeVector",0,0,"3"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedSuperReference",1,0,"5"
"org::eclipse::jdt::internal::core::builder::JavaBuilder",31,0,"13"
"org::eclipse::jdt::core::search::TypeNameMatchRequestor",3,0,"3"
"org::eclipse::jdt::internal::compiler::ast::Annotation",26,1,"8"
"org::eclipse::jdt::internal::core::ElementCache",4,0,"3"
"org::eclipse::jdt::internal::compiler::ConfigurableOption",4,0,"1"
"org::eclipse::jdt::internal::core::util::DefaultBytecodeVisitor",9,2,"15"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3",2,0,"5"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnClassLiteralAccess",0,0,"5"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnArgumentName",1,0,"5"
"org::eclipse::jdt::internal::compiler::problem::ProblemReporter",194,8,"19"
"org::eclipse::jdt::internal::compiler::codegen::CaseLabel",3,0,"3"
"org::eclipse::jdt::internal::core::UserLibraryClasspathContainer",3,0,"3"
"org::eclipse::jdt::internal::codeassist::InternalExtendedCompletionContext",4,2,"13"
"org::eclipse::jdt::core::dom::Javadoc",8,0,"6"
"org::eclipse::jdt::internal::core::ResolvedBinaryType",2,0,"6"
"org::eclipse::jdt::internal::compiler::ast::NormalAnnotation",2,0,"5"
"org::eclipse::jdt::internal::compiler::lookup::ProblemReferenceBinding",2,0,"6"
"org::eclipse::jdt::internal::core::builder::ReferenceCollection",6,1,"1"
"org::eclipse::jdt::internal::compiler::ast::AbstractVariableDeclaration",1,0,"5"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodTypeParameter",1,0,"5"
"org::eclipse::jdt::internal::compiler::ast::SwitchStatement",19,1,"8"
"org::eclipse::jdt::internal::core::search::IndexQueryRequestor",1,0,"3"
"org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference",10,0,"5"
"org::eclipse::jdt::internal::core::MoveResourceElementsOperation",2,0,"4"
"org::eclipse::jdt::internal::compiler::batch::FileSystem",18,0,"1"
"org::eclipse::jdt::internal::core::CopyResourceElementsOperation",26,1,"13"
"org::eclipse::jdt::internal::core::jdom::DOMImport",4,0,"6"
"org::eclipse::jdt::internal::compiler::ast::ForeachStatement",24,2,"8"
"org::eclipse::jdt::core::dom::Name",2,0,"4"
"org::eclipse::jdt::internal::compiler::ast::Reference",3,1,"5"
"org::eclipse::jdt::internal::compiler::lookup::RawTypeBinding",24,0,"6"
"org::eclipse::jdt::internal::compiler::ast::Initializer",4,0,"5"
"org::eclipse::jdt::internal::compiler::parser::diagnose::RangeUtil",5,0,"3"
"org::eclipse::jdt::core::dom::TypeDeclaration",18,0,"2"
"org::eclipse::jdt::internal::compiler::SourceElementParser",21,0,"11"
"org::eclipse::jdt::internal::compiler::problem::DefaultProblem",11,0,"8"
"org::eclipse::jdt::internal::core::hierarchy::RegionBasedTypeHierarchy",9,0,"1"
"org::eclipse::jdt::internal::compiler::codegen::ConstantPool",16,1,"7"
"org::eclipse::jdt::core::compiler::InvalidInputException",1,0,"3"
"org::eclipse::jdt::core::dom::QualifiedName",14,0,"6"
"org::eclipse::jdt::internal::core::search::indexing::IndexingParser",1,0,"5"
"org::eclipse::jdt::internal::core::dom::rewrite::ListRewriteEvent",2,0,"1"
"org::eclipse::jdt::internal::core::CompilationUnitElementInfo",1,0,"3"
"org::eclipse::jdt::internal::core::JarEntryFile",1,0,"3"
"org::eclipse::jdt::internal::core::search::SubTypeSearchJob",2,0,"3"
"org::eclipse::jdt::core::dom::MethodDeclaration",15,0,"2"
"org::eclipse::jdt::internal::core::util::ExceptionTableEntry",0,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::ProblemPackageBinding",0,0,"4"
"org::eclipse::jdt::internal::core::RenameElementsOperation",3,0,"4"
"org::eclipse::jdt::internal::core::MovePackageFragmentRootOperation",3,0,"1"
"org::eclipse::jdt::internal::core::CreatePackageDeclarationOperation",8,0,"4"
"org::eclipse::jdt::internal::core::builder::ProblemFactory",0,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::ArrayBinding",16,0,"7"
"org::eclipse::jdt::internal::core::ASTHolderCUInfo",4,0,"3"
"org::eclipse::jdt::internal::compiler::util::FloatUtil",1,0,"1"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnLocalName",2,0,"5"
"org::eclipse::jdt::internal::compiler::impl::IntConstant",1,0,"4"
"org::eclipse::jdt::core::dom::AbstractTypeDeclaration",6,0,"6"
"org::eclipse::jdt::core::dom::Message",2,0,"3"
"org::eclipse::jdt::internal::core::search::matching::ImportMatchLocatorParser",2,0,"5"
"org::eclipse::jdt::internal::core::BecomeWorkingCopyOperation",6,0,"3"
"org::eclipse::jdt::internal::formatter::comment::SingleCommentLine",1,0,"3"
"org::eclipse::jdt::core::dom::AnnotationBinding",11,2,"1"
"org::eclipse::jdt::internal::core::UserLibrary",9,0,"1"
"org::eclipse::jdt::core::dom::rewrite::ASTRewrite",13,1,"7"
"org::eclipse::jdt::internal::compiler::lookup::AnnotationHolder",0,0,"3"
"org::eclipse::jdt::internal::formatter::comment::Java2HTMLEntityReader",4,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::SignatureWrapper",0,0,"3"
"org::eclipse::jdt::internal::core::SourceField",13,0,"6"
"org::eclipse::jdt::core::dom::ASTSyntaxErrorPropagator",6,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::MethodScope",24,1,"8"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference",3,0,"5"
"org::eclipse::jdt::internal::compiler::env::ClassSignature",0,0,"3"
"org::eclipse::jdt::internal::compiler::batch::Main",117,2,"17"
"org::eclipse::jdt::internal::compiler::lookup::CaptureBinding",20,0,"6"
"org::eclipse::jdt::internal::compiler::ast::IfStatement",15,0,"8"
"org::eclipse::jdt::internal::core::util::CharArrayBuffer",1,0,"3"
"org::eclipse::jdt::internal::eval::CodeSnippetQualifiedNameReference",9,2,"13"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnMessageSendName",2,0,"5"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocSingleTypeReference",3,0,"5"
"org::eclipse::jdt::internal::core::search::matching::TypeReferenceLocator",40,2,"7"
"org::eclipse::jdt::internal::core::search::matching::PossibleMatch",13,0,"1"
"org::eclipse::jdt::internal::codeassist::complete::CompletionScanner",24,0,"13"
"org::eclipse::jdt::internal::compiler::parser::Scanner",85,1,"10"
"org::eclipse::jdt::internal::core::SourceAnnotationMethodInfo",3,0,"3"
"org::eclipse::jdt::internal::core::search::matching::JavaSearchNameEnvironment",10,0,"1"
"org::eclipse::jdt::internal::core::eval::RequestorWrapper",4,0,"3"
"org::eclipse::jdt::internal::compiler::impl::ShortConstant",1,0,"4"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleNameReference",3,0,"5"
"org::eclipse::jdt::internal::core::ReconcileWorkingCopyOperation",31,0,"1"
"org::eclipse::jdt::internal::compiler::ast::SingleTypeReference",4,0,"5"
"org::eclipse::jdt::internal::compiler::util::HashtableOfObject",1,0,"1"
"org::eclipse::jdt::internal::core::index::DiskIndex",40,0,"9"
"org::eclipse::jdt::core::dom::EnumDeclaration",8,0,"6"
"org::eclipse::jdt::internal::compiler::classfmt::InnerClassInfo",3,0,"3"
"org::eclipse::jdt::internal::core::ChangeClasspathOperation",7,0,"3"
"org::eclipse::jdt::core::search::SearchParticipant",11,0,"3"
"org::eclipse::jdt::internal::core::JavaProject",128,4,"20"
"org::eclipse::jdt::internal::compiler::lookup::LocalVariableBinding",8,0,"1"
"org::eclipse::jdt::core::dom::TextElement",5,0,"6"
"org::eclipse::jdt::core::util::OpcodeStringValues",2,1,"4"
"org::eclipse::jdt::internal::compiler::lookup::ParameterizedGenericMethodBinding",44,0,"7"
"org::eclipse::jdt::internal::core::search::matching::SuperTypeReferenceLocator",4,1,"4"
"org::eclipse::jdt::internal::compiler::ast::CastExpression",50,1,"8"
"org::eclipse::jdt::internal::compiler::util::Util",25,1,"7"
"org::eclipse::jdt::internal::eval::VariablesInfo",1,0,"3"
"org::eclipse::jdt::internal::compiler::ast::TypeDeclaration",60,3,"13"
"org::eclipse::jdt::core::compiler::BuildContext",3,0,"3"
"org::eclipse::jdt::core::dom::LineComment",3,0,"4"
"org::eclipse::jdt::internal::core::util::ConstantPoolEntry",1,0,"2"
"org::eclipse::jdt::internal::core::BasicCompilationUnit",3,0,"3"
"org::eclipse::jdt::internal::core::JavaElementDelta",14,0,"2"
"org::eclipse::jdt::internal::eval::CodeSnippetReturnStatement",3,1,"5"
"org::eclipse::jdt::internal::core::util::MementoTokenizer",2,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::UnresolvedReferenceBinding",7,0,"6"
"org::eclipse::jdt::internal::core::search::matching::TypeParameterPattern",6,0,"4"
"org::eclipse::jdt::internal::compiler::ast::IntLiteralMinValue",0,0,"5"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedTypeReference",3,0,"5"
"org::eclipse::jdt::internal::compiler::ast::WhileStatement",15,0,"8"
"org::eclipse::jdt::internal::compiler::env::NameEnvironmentAnswer",2,0,"3"
"org::eclipse::jdt::internal::core::util::JavaElementFinder",1,0,"1"
"org::eclipse::jdt::internal::codeassist::select::SelectionOnMessageSend",2,0,"5"
"org::eclipse::jdt::internal::compiler::ast::Block",5,0,"5"
"org::eclipse::jdt::internal::compiler::parser::TypeConverter",2,0,"1"
"org::eclipse::jdt::internal::compiler::parser::RecoveredImport",0,0,"3"
"org::eclipse::jdt::internal::compiler::ClassFilePool",0,0,"3"
"org::eclipse::jdt::internal::core::util::AnnotationComponentValue",2,0,"1"
"org::eclipse::jdt::core::compiler::ReconcileContext",4,0,"3"
"org::eclipse::jdt::core::dom::CastExpression",8,0,"6"
"org::eclipse::jdt::internal::formatter::align::Alignment",18,0,"1"
"org::eclipse::jdt::internal::core::util::ClassFileStruct",0,0,"3"
"org::eclipse::jdt::core::CompletionRequestorAdapter",0,0,"3"
"org::eclipse::jdt::internal::compiler::ast::Wildcard",2,0,"5"
"org::eclipse::jdt::internal::core::util::AnnotationDefaultAttribute",0,0,"3"
"org::eclipse::jdt::internal::compiler::ast::AssertStatement",9,2,"8"
"org::eclipse::jdt::internal::compiler::util::Messages",7,0,"3"
"org::eclipse::jdt::internal::core::search::matching::AndLocator",2,0,"4"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleTypeReference",5,0,"5"
"org::eclipse::jdt::internal::core::search::matching::IntersectingPattern",2,1,"4"
"org::eclipse::jdt::internal::core::dom::NaiveASTFlattener",1,0,"3"
"org::eclipse::jdt::internal::core::ClasspathAccessRule",2,0,"3"
"org::eclipse::jdt::internal::core::DeletePackageFragmentRootOperation",3,0,"1"
"org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding",1,0,"6"
"org::eclipse::jdt::internal::compiler::codegen::StackMapFrameCodeStream",17,2,"2"
"org::eclipse::jdt::internal::compiler::batch::ClasspathLocation",7,0,"3"
"org::eclipse::jdt::internal::core::search::matching::ConstructorPattern",15,1,"1"
"org::eclipse::jdt::internal::core::util::ASTNodeFinder",3,0,"1"
"org::eclipse::jdt::core::search::FieldReferenceMatch",3,1,"3"
"org::eclipse::jdt::internal::eval::CodeSnippetAllocationExpression",13,1,"8"
"org::eclipse::jdt::internal::codeassist::CompletionUnitStructureRequestor",2,0,"1"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType",1,0,"5"
"org::eclipse::jdt::core::dom::CompilationUnit",38,0,"2"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodName",0,0,"5"
"org::eclipse::jdt::internal::core::util::Util",68,4,"20"
"org::eclipse::jdt::internal::formatter::FormatJavadoc",3,0,"5"
"org::eclipse::jdt::internal::compiler::ast::MethodDeclaration",17,2,"8"
"org::eclipse::jdt::internal::core::search::AbstractSearchScope",1,0,"3"
"org::eclipse::jdt::internal::core::search::matching::ClassFileMatchLocator",15,1,"7"
"org::eclipse::jdt::internal::compiler::lookup::ReferenceBinding",50,1,"16"
"org::eclipse::jdt::core::Signature",37,1,"9"
"org::eclipse::jdt::internal::core::util::HashSetOfCharArrayArray",1,0,"1"
"org::eclipse::jdt::internal::core::BatchOperation",1,0,"3"
"org::eclipse::jdt::internal::compiler::util::GenericXMLWriter",3,0,"1"
"org::eclipse::jdt::internal::core::util::HandleFactory",20,0,"1"
"org::eclipse::jdt::internal::compiler::classfmt::AnnotationInfo",1,0,"1"
"org::eclipse::jdt::internal::compiler::lookup::LocalTypeBinding",11,0,"6"
"org::eclipse::jdt::internal::core::util::ExceptionAttribute",3,0,"3"
"org::eclipse::jdt::internal::compiler::util::HashtableOfLong",1,0,"3"
"org::eclipse::jdt::internal::core::JarPackageFragmentInfo",1,0,"3"
"org::eclipse::jdt::core::jdom::DOMFactory",3,0,"3"
"org::eclipse::jdt::internal::compiler::flow::ExceptionHandlingFlowContext",11,2,"6"
"org::eclipse::jdt::internal::core::ResolvedBinaryField",1,0,"6"
"org::eclipse::jdt::core::dom::ASTVisitor",5,0,"3"
"org::eclipse::jdt::core::dom::MemberValuePairBinding",6,0,"1"
"org::eclipse::jdt::internal::core::search::JavaSearchParticipant",3,0,"3"
"org::eclipse::jdt::internal::core::ExternalJavaProject",4,0,"6"
"org::eclipse::jdt::internal::core::CancelableNameEnvironment",6,1,"4"
"org::eclipse::jdt::internal::eval::VariablesEvaluator",4,0,"1"
"org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext",5,0,"4"
"org::eclipse::jdt::internal::compiler::codegen::IntegerCache",1,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::BaseTypeBinding",2,0,"1"
"org::eclipse::jdt::internal::core::search::indexing::ReadWriteMonitor",0,0,"3"
"org::eclipse::jdt::internal::eval::CodeSnippetEnvironment",1,0,"3"
"org::eclipse::jdt::internal::core::util::ConstantValueAttribute",0,0,"3"
"org::eclipse::jdt::internal::core::util::Annotation",1,0,"3"
"org::eclipse::jdt::internal::core::util::LocalVariableAttribute",0,0,"3"
"org::eclipse::jdt::internal::formatter::FormatterCommentParser",17,5,"13"
"org::eclipse::jdt::internal::core::hierarchy::TypeHierarchy",27,1,"16"
"org::eclipse::jdt::internal::core::search::JavaSearchTypeNameMatch",1,0,"3"
"org::eclipse::jdt::internal::core::JarPackageFragmentRoot",19,0,"6"
"org::eclipse::jdt::core::dom::TypeDeclarationStatement",12,0,"6"
"org::eclipse::jdt::internal::core::AnnotationInfo",1,0,"3"
"org::eclipse::jdt::internal::formatter::FormatJavadocBlock",8,0,"7"
"org::eclipse::jdt::internal::core::VerboseElementCache",0,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::ElementValuePair",5,0,"3"
"org::eclipse::jdt::internal::codeassist::complete::CompletionJavadocParser",26,0,"13"
"org::eclipse::jdt::internal::core::util::WeakHashSet",1,0,"1"
"org::eclipse::jdt::internal::core::NullBuffer",1,0,"3"
"org::eclipse::jdt::internal::compiler::ast::JavadocReturnStatement",13,0,"5"
"org::eclipse::jdt::internal::core::JavaModel",28,1,"2"
"org::eclipse::jdt::internal::compiler::codegen::FloatCache",1,0,"3"
"org::eclipse::jdt::internal::core::search::IndexSelector",12,1,"1"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedNameReference",5,0,"5"
"org::eclipse::jdt::internal::compiler::lookup::SyntheticFieldBinding",1,0,"4"
"org::eclipse::jdt::core::dom::SimpleName",13,0,"6"
"org::eclipse::jdt::core::dom::Modifier",6,0,"6"
"org::eclipse::jdt::internal::compiler::ast::ParameterizedSingleTypeReference",29,1,"8"
"org::eclipse::jdt::internal::compiler::ast::BreakStatement",6,0,"5"
"org::eclipse::jdt::internal::compiler::ast::JavadocSingleTypeReference",26,0,"5"
"org::eclipse::jdt::core::dom::Type",2,0,"4"
"org::eclipse::jdt::internal::core::DiscardWorkingCopyOperation",6,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::NestedTypeBinding",5,1,"6"
"org::eclipse::jdt::internal::core::SourceRange",1,0,"3"
"org::eclipse::jdt::internal::compiler::ast::ReturnStatement",26,1,"8"
"org::eclipse::jdt::internal::core::util::SimpleWordSet",1,0,"3"
"org::eclipse::jdt::internal::compiler::lookup::TypeVariableBinding",45,1,"7"
"org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFlattener",8,0,"1"
"org::eclipse::jdt::core::dom::PackageBinding",18,0,"1"
"org::eclipse::jdt::internal::compiler::impl::StringConstant",0,0,"4"
"org::eclipse::jdt::internal::compiler::ast::PostfixExpression",0,0,"5"
"org::eclipse::jdt::internal::core::search::indexing::AddFolderToIndex",5,0,"3"
"org::eclipse::jdt::internal::compiler::flow::FlowInfo",6,0,"2"
"org::eclipse::jdt::internal::compiler::parser::RecoveredLocalVariable",2,0,"1"
"org::eclipse::jdt::internal::core::util::KeyToSignature",18,0,"7"
"org::eclipse::jdt::internal::core::ModelUpdater",7,0,"1"
"org::eclipse::jdt::core::ClasspathContainerInitializer",4,0,"3"
"org::eclipse::jdt::internal::core::OpenableElementInfo",1,0,"3"
"org::eclipse::jdt::internal::core::ResolvedSourceField",2,0,"6"
"org::eclipse::jdt::internal::core::SimpleDelta",2,0,"3"
"org::eclipse::jdt::internal::core::DeleteResourceElementsOperation",10,0,"4"
"org::eclipse::jdt::internal::core::search::indexing::SourceIndexerRequestor",20,0,"2"
"org::eclipse::jdt::internal::core::util::DOMFinder",3,0,"3"
"org::eclipse::jdt::internal::compiler::ast::JavadocArgumentExpression",15,0,"5"
"org::eclipse::jdt::internal::core::NameLookup",35,0,"13"
"org::eclipse::jdt::internal::compiler::lookup::MethodVerifier15",80,8,"13"
"org::eclipse::jdt::internal::compiler::parser::RecoveredType",12,0,"7"
"org::eclipse::jdt::internal::core::search::indexing::SaveIndex",0,0,"3"
"org::eclipse::jdt::internal::core::ClasspathEntry",36,4,"9"
"org::eclipse::jdt::internal::compiler::lookup::ClassScope",82,1,"9"
"org::eclipse::jdt::internal::compiler::SourceElementNotifier",2,0,"1"
"org::eclipse::jdt::internal::compiler::lookup::BinaryTypeBinding",46,1,"9"
"org::eclipse::jdt::internal::compiler::parser::diagnose::DiagnoseParser",10,0,"17"
"org::eclipse::jdt::internal::core::util::CodeSnippetParsingUtil",13,0,"1"
"org::eclipse::jdt::core::compiler::CompilationProgress",1,0,"3"
"org::eclipse::jdt::core::dom::SimplePropertyDescriptor",1,0,"3"
"org::eclipse::jdt::core::dom::DefaultASTVisitor",7,0,"3"
"org::eclipse::jdt::core::dom::ExpressionStatement",8,0,"6"
"org::eclipse::jdt::internal::formatter::DefaultCodeFormatterOptions",63,2,"17"
"org::eclipse::jdt::internal::core::index::Index",18,1,"1"
"org::eclipse::jdt::internal::core::PackageFragment",23,0,"2"
"org::eclipse::jdt::core::util::CompilationUnitSorter",5,0,"3"
"org::eclipse::jdt::internal::eval::CodeSnippetMessageSend",12,2,"8"
"org::eclipse::jdt::internal::codeassist::impl::AssistSourceType",3,0,"6"
"org::eclipse::jdt::internal::core::jdom::DOMBuilder",10,0,"7"
"org::eclipse::jdt::internal::core::search::matching::PackageReferencePattern",11,1,"4"
"org::eclipse::jdt::internal::compiler::impl::ByteConstant",1,0,"4"
"org::eclipse::jdt::internal::core::search::matching::TypeDeclarationLocator",2,1,"4"
"org::eclipse::jdt::internal::compiler::SourceJavadocParser",6,0,"4"
"org::eclipse::jdt::internal::compiler::ast::AllocationExpression",20,1,"8"
"org::eclipse::jdt::internal::core::ClasspathChange",11,1,"7"
"org::eclipse::jdt::core::dom::StructuralPropertyDescriptor",1,0,"3"
"org::eclipse::jdt::internal::core::JarPackageFragment",6,0,"6"
"org::eclipse::jdt::internal::core::search::PathCollector",1,0,"3"
"org::eclipse::jdt::internal::codeassist::complete::InvalidCursorLocation",0,0,"3"
"org::eclipse::jdt::internal::compiler::ast::TryStatement",31,3,"13"
"org::eclipse::jdt::core::search::TypeParameterReferenceMatch",1,0,"3"
"org::eclipse::jdt::internal::core::search::matching::PackageDeclarationPattern",2,1,"4"
"org::eclipse::jdt::internal::core::jdom::DOMField",4,0,"2"
"org::eclipse::jdt::internal::compiler::ast::StringLiteral",7,0,"5"
"org::eclipse::jdt::core::dom::FieldDeclaration",13,0,"6"
"org::eclipse::jdt::internal::codeassist::select::SelectionJavadocParser",4,0,"6"
"org::eclipse::jdt::internal::compiler::parser::AbstractCommentParser",81,7,"9"
"org::eclipse::jdt::internal::core::search::matching::VariableLocator",2,1,"4"
"org::eclipse::jdt::core::dom::EmptyStatement",5,0,"4"
"org::eclipse::jdt::core::dom::AnnotationTypeDeclaration",6,0,"6"
"org::eclipse::jdt::internal::core::builder::AbortIncrementalBuildException",0,0,"3"
"org::eclipse::jdt::internal::core::hierarchy::IndexBasedHierarchyBuilder",33,0,"7"
"org::eclipse::jdt::internal::core::CancelableProblemFactory",6,0,"3"
"org::eclipse::jdt::core::dom::ThrowStatement",8,0,"6"
"org::eclipse::jdt::internal::core::JavaElement",36,1,"11"
"org::eclipse::jdt::internal::compiler::ast::OperatorExpression",4,0,"9"
"org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations",0,0,"3"
"org::eclipse::jdt::internal::formatter::comment::CommentRegion",4,0,"7"
"org::eclipse::jdt::internal::compiler::env::EnumConstantSignature",0,0,"3"
"org::eclipse::jdt::core::dom::ImportDeclaration",10,0,"6"
"org::eclipse::jdt::core::search::TypeDeclarationMatch",0,0,"3"
"org::eclipse::jdt::core::util::ClassFormatException",0,0,"3"
"org::eclipse::jdt::internal::core::BinaryField",9,2,"6"
"org::eclipse::jdt::internal::core::DeltaProcessingState",26,1,"7"
"org::eclipse::jdt::core::jdom::DOMException",1,0,"3"
"org::eclipse::jdt::internal::compiler::ast::EmptyStatement",1,0,"5"
"org::eclipse::jdt::internal::core::search::matching::LocalVariablePattern",8,0,"4"
"org::eclipse::jdt::internal::core::search::JavaSearchScope",34,1,"7"
"org::eclipse::jdt::internal::core::search::matching::PatternLocator",44,1,"13"
"org::eclipse::jdt::internal::core::search::matching::ClasspathSourceDirectory",7,0,"3"
"org::eclipse::jdt::internal::core::jdom::DOMPackage",3,0,"4"
"org::eclipse::jdt::internal::compiler::ast::JavadocMessageSend",28,0,"8"
"org::eclipse::jdt::internal::compiler::lookup::BinaryLocalVariableBinding",0,0,"4"
"org::eclipse::jdt::internal::core::CommitWorkingCopyOperation",14,0,"1"
"org::eclipse::jdt::internal::core::search::JavaSearchDocument",3,0,"3"
"org::eclipse::jdt::internal::codeassist::complete::CompletionOnImportReference",0,0,"5"
"org::eclipse::jdt::internal::core::util::KeyKind",7,0,"3"
"org::eclipse::jdt::internal::compiler::batch::FileFinder",2,0,"3"
"org::eclipse::jdt::internal::core::JavaCorePreferenceInitializer",22,0,"3"
